model,dataset,attack,baseline_kind,variant_kind,n_baseline,n_variant,mean_asr_baseline,std_asr_baseline,mean_asr_variant,std_asr_variant,delta_asr,t_statistic,p_value_ttest,p_value_kruskal,significant_at_0.05,effect_size_abs
VGG16,Cifar100_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.9402,,0.8883,,-0.05190000000000006,,,,False,0.05190000000000006
VGG16,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8794,,0.8251,,-0.054300000000000015,,,,False,0.054300000000000015
VGG16,Cifar100_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8794,,0.798,,-0.08139999999999992,,,,False,0.08139999999999992
VGG16,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.962,,0.9573,,-0.0046999999999999265,,,,False,0.0046999999999999265
VGG16,Cifar100_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.962,,0.9355,,-0.026499999999999968,,,,False,0.026499999999999968
VGG16,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined,2,2,0.32525,7.071067811864696e-05,0.4789,0.0,0.15365,3073.000000000339,0.0002071655547985439,,True,0.15365
VGG16,Cifar10_epochs100_pretrain300,BIM,Control_Continuted,Dynamic_Region_All_Combined_quant,2,2,0.32525,7.071067811864696e-05,0.40845,7.071067811864696e-05,0.0832,832.0000000000916,0.0007651676271755843,,True,0.0832
VGG16,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.8127,,0.7666,,-0.04610000000000003,,,,False,0.04610000000000003
VGG16,Cifar10_epochs100_pretrain300,DeepFool,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.8127,,0.7619,,-0.050799999999999956,,,,False,0.050799999999999956
VGG16,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.5550999999999999,,0.6062000000000001,,0.051100000000000145,,,,False,0.051100000000000145
VGG16,Cifar10_epochs100_pretrain300,FGSM,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.5550999999999999,,0.5848,,0.02970000000000006,,,,False,0.02970000000000006
VGG16,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined,1,1,0.781,,0.8974,,0.11639999999999995,,,,False,0.11639999999999995
VGG16,Cifar10_epochs100_pretrain300,PGD,Control_Continuted,Dynamic_Region_All_Combined_quant,1,1,0.781,,0.8586,,0.0776,,,,False,0.0776
